,index,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit,rep
84,0,1,0.3742414714658482,0.808405865825313,0.8903604926192753,198.4049172401428,8.07355,150.0,1.0,14
85,1,2,0.4193036833148261,0.870544224594197,0.8361757982087096,1.804473876953125,8.07355,150.0,47.0,14
86,2,3,0.3364175283624239,0.7806132638247811,0.8489213964150577,2.095036506652832,8.07355,300.0,23.0,14
87,3,4,0.4365272003354806,0.8423114966065652,0.8610928982795385,106.24974179267883,8.07355,500.0,97.0,14
88,4,MapOutlier,,,,0.0,8.07355,,,14
89,5,Avedmat,,,,0.1764791011810302,,,,14
90,0,1,0.3934746527509298,0.8111286607415167,0.8988542474340829,128.99014735221863,8.06518,150.0,1.0,15
91,1,2,0.4600382315048834,0.9012859331406176,0.8449816848846569,2.355217456817627,8.06518,150.0,47.0,15
92,2,3,0.305201966323075,0.7632851673958513,0.8447966584086033,2.433044672012329,8.06518,300.0,23.0,15
93,3,4,0.4432222010431109,0.8191462792014811,0.7835648089569793,85.58338212966919,8.06518,500.0,97.0,15
94,4,MapOutlier,,,,0.0,8.06518,,,15
95,5,Avedmat,,,,0.1764791011810302,,,,15
96,0,1,0.3604330969741187,0.8018308480250083,0.8864381255359318,179.3369915485382,7.87209,150.0,1.0,16
97,1,2,0.2640619889787531,0.7666381188481491,0.8327804002397938,2.1561145782470703,7.87209,150.0,47.0,16
98,2,3,0.385329494224607,0.8127320096962838,0.8347904433115391,2.06758451461792,7.87209,300.0,23.0,16
99,3,4,0.4510629158337111,0.8203779639076089,0.7747522613142978,84.66039109230042,7.87209,500.0,97.0,16
100,4,MapOutlier,,,,0.0,7.87209,,,16
101,5,Avedmat,,,,0.1764791011810302,,,,16
102,0,1,0.3836406082516343,0.8099395513437001,0.8915659994567654,137.49463820457458,7.67622,150.0,1.0,17
103,1,2,0.4034566650400036,0.8667255879631357,0.8337179736382633,1.8538312911987305,7.67622,150.0,47.0,17
104,2,3,0.3528516970036774,0.7814045828147224,0.8392465440026244,2.180194616317749,7.67622,300.0,23.0,17
105,3,4,0.4808351486510134,0.8533532666365662,0.8126834244712914,67.87038064002991,7.67622,500.0,97.0,17
106,4,MapOutlier,,,,0.0,7.67622,,,17
107,5,Avedmat,,,,0.1764791011810302,,,,17
108,0,1,0.3922248492806175,0.8110737980350541,0.8880902908647413,179.5089032649994,8.12291,150.0,1.0,18
109,1,2,0.4391494636555373,0.8844115736929017,0.8433995725185202,2.8318018913269043,8.12291,150.0,47.0,18
110,2,3,0.3699781538261315,0.8098680288040331,0.8653745050542585,2.3740549087524414,8.12291,300.0,23.0,18
