,index,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit,rep
58,2,MapOutlier,,,,0.0,5.23899,,,14
59,3,Avedmat,,,,0.0054938793182373,,,,14
60,0,1,0.61,0.8728472276093496,0.9930331962370818,0.6560213565826416,5.67473,25.0,1.0,15
61,1,2,0.4356404827352804,0.8471383884247214,0.8712638901681262,1223.7787137031555,5.67473,25.0,501.0,15
62,2,MapOutlier,,,,0.0,5.67473,,,15
63,3,Avedmat,,,,0.0054938793182373,,,,15
64,0,1,0.6200000000000001,0.8791366154896239,0.9940334005836052,2.677536725997925,5.33255,25.0,1.0,16
65,1,2,0.4348943909100577,0.8473201832848759,0.875141353804886,1205.0666692256927,5.33255,25.0,501.0,16
66,2,MapOutlier,,,,0.0,5.33255,,,16
67,3,Avedmat,,,,0.0054938793182373,,,,16
68,0,1,0.72,0.8736969861325765,0.9941288854904056,1.2922039031982422,5.41459,25.0,1.0,17
69,1,2,0.4365460944723986,0.8473811349451653,0.8724899170969612,878.7526876926422,5.41459,25.0,501.0,17
70,2,MapOutlier,,,,0.0,5.41459,,,17
71,3,Avedmat,,,,0.0054938793182373,,,,17
72,0,1,0.6,0.8507376620555799,0.9938050819167804,1.3271894454956057,5.37921,25.0,1.0,18
73,1,2,0.4249826542889943,0.8426953870421681,0.8774088888516419,1050.0694499015808,5.37921,25.0,501.0,18
74,2,MapOutlier,,,,0.0,5.37921,,,18
75,3,Avedmat,,,,0.0054938793182373,,,,18
76,0,1,0.6699999999999999,0.8736496877985376,0.9939921241826292,0.828167200088501,5.80526,25.0,1.0,19
77,1,2,0.4432940148223019,0.8498652433868368,0.8801526142374141,773.1170492172241,5.80526,25.0,501.0,19
78,2,MapOutlier,,,,0.0,5.80526,,,19
79,3,Avedmat,,,,0.0054938793182373,,,,19
80,0,1,0.6799999999999999,0.8762823761915834,0.9946946325382562,1.0734021663665771,5.66595,25.0,1.0,20
81,1,2,0.4250778666218664,0.8452870842345389,0.8775871590356248,1312.4316527843475,5.66595,25.0,501.0,20
82,2,MapOutlier,,,,0.0,5.66595,,,20
83,3,Avedmat,,,,0.0054938793182373,,,,20
84,0,1,0.64,0.892299648310888,0.9951264310747872,0.8788130283355713,5.65575,25.0,1.0,21
85,1,2,0.4405870838382855,0.8468641017019701,0.8781808693114698,710.5414497852325,5.65575,25.0,501.0,21
86,2,MapOutlier,,,,0.0,5.65575,,,21
87,3,Avedmat,,,,0.0054938793182373,,,,21
88,0,1,0.6699999999999999,0.8795977431207611,0.9940323842500888,0.8808279037475586,5.47463,25.0,1.0,22
89,1,2,0.4226024333516034,0.8415945884338412,0.8750949046036328,832.886702299118,5.47463,25.0,501.0,22
90,2,MapOutlier,,,,0.0,5.47463,,,22
