method,dim,lineage,corr_pseudotime,corr_rc_radius,local-global,local-global-num
UMAP,4,ABpxp,0.31306486673048095,0.38512925702633866,global,1
UMAP,4,ABpxpp,0.6210159291024216,0.5998814404642061,global,2
UMAP,4,ABpxpa,0.7495650704487808,0.6780965451765715,global,2
UMAP,4,ABpxppp,0.6220046807529551,0.6187949550036507,global,3
UMAP,4,ABpxppa,0.6318664242902748,0.5766752155274683,global,3
UMAP,4,ABpxpap,0.695624027160916,0.5216049488330806,global,3
UMAP,4,ABpxpaa,0.5511498492728496,0.4480703363963558,global,3
hMDS,5,ABpxpppp,0.30335304730751583,0.541225892984666,local,4
hMDS,5,ABpxpppa,0.5728168541695167,0.6962011040774455,local,4
hMDS,5,ABpxppap,0.6234889100232098,0.646527973457104,local,4
hMDS,5,ABpxppaa,0.6291610214407484,0.7217548253589872,local,4
hMDS,5,ABpxpaap,0.5668904948550192,0.6707455086433951,local,4
hMDS,5,ABpxpaaa,0.46686266536212195,0.7223063885881388,local,4
hMDS,5,ABpxp,0.854548659112429,0.4975345870819197,global,1
hMDS,5,ABpxpp,0.852742374107056,0.6915184373017235,global,2
hMDS,5,ABpxpa,0.7831253587838936,0.6260811881716224,global,2
hMDS,5,ABpxppp,0.6839002468742983,0.607946900763007,global,3
hMDS,5,ABpxppa,0.6573662709621021,0.5974898834169604,global,3
hMDS,5,ABpxpap,0.40935246701948763,0.7489998058088151,global,3
hMDS,5,ABpxpaa,0.5559894700153646,0.5571859514885371,global,3
PCA,5,ABpxpppp,0.6555879299416804,0.5714469421006562,local,4
PCA,5,ABpxpppa,0.41977409344075256,0.4814776273171318,local,4
PCA,5,ABpxppap,0.7068671454186292,0.6285903618360555,local,4
PCA,5,ABpxppaa,0.7413678228717002,0.6985007613104954,local,4
PCA,5,ABpxpaap,0.4511105996683702,0.5507725196982124,local,4
PCA,5,ABpxpaaa,0.4674515249487935,0.5478929198958299,local,4
PCA,5,ABpxp,0.31829153322077186,0.3231757951604212,global,1
PCA,5,ABpxpp,0.552566360843511,0.49410439446894006,global,2
PCA,5,ABpxpa,0.5584612725192257,0.5234319213397353,global,2
PCA,5,ABpxppp,0.4890156512006347,0.4547195823006758,global,3
PCA,5,ABpxppa,0.5912625358292894,0.547181050970789,global,3
PCA,5,ABpxpap,0.6606070349206099,0.5527888303144649,global,3
PCA,5,ABpxpaa,0.6032716557284387,0.641390394829583,global,3
UMAP,5,ABpxpppp,0.6369057421365595,0.5249886655854534,local,4
UMAP,5,ABpxpppa,0.7639395213879687,0.709614694761583,local,4
UMAP,5,ABpxppap,0.5147974127764573,0.6599465655015458,local,4
UMAP,5,ABpxppaa,0.6223216461450483,0.6406133627576726,local,4
UMAP,5,ABpxpaap,0.6821964357133036,0.7584123265230254,local,4
UMAP,5,ABpxpaaa,0.6564050678124952,0.5060086928769448,local,4
UMAP,5,ABpxp,0.4090619118958142,0.4173742329705311,global,1
UMAP,5,ABpxpp,0.6228778073249217,0.6127419944354796,global,2
UMAP,5,ABpxpa,0.7734394229272257,0.595431805513653,global,2
UMAP,5,ABpxppp,0.6032256396575312,0.6355277980886889,global,3
UMAP,5,ABpxppa,0.5642053972974608,0.5809015335698425,global,3
UMAP,5,ABpxpap,0.7209810922459241,0.523256778860852,global,3
UMAP,5,ABpxpaa,0.5862389319293813,0.4667350060237828,global,3
hMDS,6,ABpxpppp,0.26214661002477113,0.5669269694551157,local,4
hMDS,6,ABpxpppa,0.5674806345562403,0.6622862688155439,local,4
hMDS,6,ABpxppap,0.652489336469669,0.6802943396264742,local,4
hMDS,6,ABpxppaa,0.622190730002655,0.7228885146779997,local,4
hMDS,6,ABpxpaap,0.5770125016269717,0.7043295937191439,local,4
hMDS,6,ABpxpaaa,0.5208781861157703,0.6802894200587956,local,4
hMDS,6,ABpxp,0.8027222757006511,0.47932480905311314,global,1
hMDS,6,ABpxpp,0.8225423821683946,0.6979328092333584,global,2
hMDS,6,ABpxpa,0.8018103828562938,0.6552840236746696,global,2
hMDS,6,ABpxppp,0.6779365702256198,0.6404012898659839,global,3
hMDS,6,ABpxppa,0.6811809996185587,0.6570730019286825,global,3
hMDS,6,ABpxpap,0.7280641131722665,0.7828982565137884,global,3
hMDS,6,ABpxpaa,0.5298994943313826,0.6549728724942218,global,3
PCA,6,ABpxpppp,0.6425120117059323,0.5779712663065657,local,4
PCA,6,ABpxpppa,0.38501135731200703,0.4900291060083097,local,4
PCA,6,ABpxppap,0.656663059821876,0.6126504836151951,local,4
PCA,6,ABpxppaa,0.7621108855055307,0.6914933282628895,local,4
PCA,6,ABpxpaap,0.5284519771134636,0.5613225484380284,local,4
PCA,6,ABpxpaaa,0.6443637088981354,0.6423521152359759,local,4
PCA,6,ABpxp,0.29372492317508453,0.3588171619554576,global,1
PCA,6,ABpxpp,0.514499257757732,0.5137442847560774,global,2
PCA,6,ABpxpa,0.5398963171094247,0.5050833505073756,global,2
PCA,6,ABpxppp,0.4549392254063419,0.4649197691843637,global,3
PCA,6,ABpxppa,0.5421561292199029,0.5579854257764069,global,3
PCA,6,ABpxpap,0.6220945964370298,0.5596969451648242,global,3
PCA,6,ABpxpaa,0.7045399143432813,0.674772273124669,global,3
UMAP,6,ABpxpppp,0.5965712427976522,0.5259738737205767,local,4
UMAP,6,ABpxpppa,0.7384946015002726,0.7116583977268736,local,4
UMAP,6,ABpxppap,0.6800551494609982,0.6180542275703756,local,4
UMAP,6,ABpxppaa,0.6903938674000076,0.6445639087610076,local,4
UMAP,6,ABpxpaap,0.765561834557462,0.6598891138486487,local,4
UMAP,6,ABpxpaaa,0.17273606348179207,0.6872250049976875,local,4
UMAP,6,ABpxp,0.22115871546073004,0.3566329736334336,global,1
UMAP,6,ABpxpp,0.5292695464929962,0.577756212763757,global,2
UMAP,6,ABpxpa,0.7832148462670078,0.6492924420251597,global,2
UMAP,6,ABpxppp,0.7241649325326222,0.6141635170531121,global,3
UMAP,6,ABpxppa,0.5974522468960449,0.5783036966324546,global,3
UMAP,6,ABpxpap,0.6740682079738132,0.508706487181296,global,3
UMAP,6,ABpxpaa,0.5937719829745386,0.4041742279727686,global,3
hMDS,7,ABpxpppp,0.29834943372659123,0.5890557848684721,local,4
hMDS,7,ABpxpppa,0.5123817842673221,0.6183602656088052,local,4
hMDS,7,ABpxppap,0.6370377461808701,0.6615589613178914,local,4
hMDS,7,ABpxppaa,0.6483554242955125,0.7693924409160875,local,4
hMDS,7,ABpxpaap,0.5402933233012716,0.7337258111028436,local,4
hMDS,7,ABpxpaaa,0.5435598915212989,0.6676822427824548,local,4
hMDS,7,ABpxp,0.7990658338524304,0.47638791386462553,global,1
hMDS,7,ABpxpp,0.8267379855614796,0.7088951776065008,global,2
hMDS,7,ABpxpa,0.7988333953593548,0.6483949482553686,global,2
hMDS,7,ABpxppp,0.67695515165116,0.6433252986877083,global,3
hMDS,7,ABpxppa,0.6642873764801885,0.6448722085700231,global,3
hMDS,7,ABpxpap,0.7986300895197365,0.7826718583123097,global,3
hMDS,7,ABpxpaa,0.5904679491686026,0.6221446586971234,global,3
PCA,7,ABpxpppp,0.538883518626103,0.5928702647027126,local,4
PCA,7,ABpxpppa,0.5739788521705677,0.5956586119390316,local,4
PCA,7,ABpxppap,0.6590954057766121,0.6336294101059308,local,4
PCA,7,ABpxppaa,0.6875271675899539,0.688044855065537,local,4
PCA,7,ABpxpaap,0.5892930787257276,0.5540398536011707,local,4
PCA,7,ABpxpaaa,0.5342163283388496,0.637546194465353,local,4
PCA,7,ABpxp,0.2591045918902383,0.33484295763971716,global,1
PCA,7,ABpxpp,0.4493303945896536,0.5233932006167589,global,2
PCA,7,ABpxpa,0.48261087750299125,0.5125307092683884,global,2
PCA,7,ABpxppp,0.44500077598103394,0.5003863503184387,global,3
PCA,7,ABpxppa,0.5379730252668156,0.5584537936973091,global,3
PCA,7,ABpxpap,0.5905511431883218,0.5913449342862236,global,3
PCA,7,ABpxpaa,0.5815873801481097,0.6410218697286466,global,3
UMAP,7,ABpxpppp,0.6311636616177305,0.5334502030496874,local,4
UMAP,7,ABpxpppa,0.7747648192091316,0.6843458095965969,local,4
UMAP,7,ABpxppap,0.711034636707658,0.6181268689290946,local,4
UMAP,7,ABpxppaa,0.6703149325657707,0.6342689689570837,local,4
UMAP,7,ABpxpaap,-0.10784159286911821,0.6769634638467137,local,4
UMAP,7,ABpxpaaa,0.769586826975351,0.7185084994979308,local,4
UMAP,7,ABpxp,0.20690909542764116,0.32610986095677924,global,1
UMAP,7,ABpxpp,0.7536501943030456,0.5550610193451785,global,2
UMAP,7,ABpxpa,0.7403203828598321,0.6541113348346583,global,2
UMAP,7,ABpxppp,0.6467197772342328,0.6024538968631501,global,3
UMAP,7,ABpxppa,0.5789523884015378,0.5856378824500653,global,3
UMAP,7,ABpxpap,0.5370205508641606,0.5021308506804406,global,3
UMAP,7,ABpxpaa,0.5811299577070302,0.38710858830777883,global,3
hMDS,8,ABpxpppp,0.2574151195250353,0.5620787015199923,local,4
hMDS,8,ABpxpppa,0.467167892100507,0.6255561293920053,local,4
hMDS,8,ABpxppap,0.475639759505904,0.6522106411900565,local,4
hMDS,8,ABpxppaa,0.5571272760924274,0.763787187509885,local,4
hMDS,8,ABpxpaap,0.6452564649537432,0.7122429113447681,local,4
hMDS,8,ABpxpaaa,0.5799248010420255,0.6889112045532539,local,4
hMDS,8,ABpxp,0.8044757765421281,0.49333681935131757,global,1
hMDS,8,ABpxpp,0.848440432933865,0.7177894557935555,global,2
hMDS,8,ABpxpa,0.8005891537465883,0.6470202651385044,global,2
hMDS,8,ABpxppp,0.690852152007589,0.6544508061583414,global,3
hMDS,8,ABpxppa,0.6592244231188068,0.6540195744896931,global,3
hMDS,8,ABpxpap,0.7450152638775396,0.7883326284695145,global,3
hMDS,8,ABpxpaa,0.6311739564697411,0.5984329825428615,global,3
PCA,8,ABpxpppp,0.34840787691317876,0.5893769203961775,local,4
PCA,8,ABpxpppa,0.5018305068403298,0.5854129606809488,local,4
PCA,8,ABpxppap,0.6495220254907906,0.6525365232681262,local,4
PCA,8,ABpxppaa,0.7062339929753884,0.7038530084612181,local,4
PCA,8,ABpxpaap,0.4932130465701219,0.5509949885135397,local,4
PCA,8,ABpxpaaa,0.56534358606525,0.6534241744187056,local,4
PCA,8,ABpxp,0.24775169790279095,0.34744242385676544,global,1
PCA,8,ABpxpp,0.6040684239700334,0.5571687207352373,global,2
PCA,8,ABpxpa,0.41549681050352555,0.5318546863607014,global,2
PCA,8,ABpxppp,0.4589253595718152,0.49689070354974996,global,3
PCA,8,ABpxppa,0.5860812676146261,0.5866546525738279,global,3
PCA,8,ABpxpap,0.5972099480002965,0.5967332727115353,global,3
PCA,8,ABpxpaa,0.5637278394080005,0.6326040441623629,global,3
UMAP,8,ABpxpppp,0.6121350658411054,0.5236238819917215,local,4
UMAP,8,ABpxpppa,0.7655743227883857,0.6998507488644888,local,4
UMAP,8,ABpxppap,0.6871126570340356,0.6257347886246738,local,4
UMAP,8,ABpxppaa,0.6274927940511198,0.6512018245454376,local,4
UMAP,8,ABpxpaap,0.7617025422332019,0.7733450190894902,local,4
UMAP,8,ABpxpaaa,0.6668082290995465,0.4154327355348735,local,4
UMAP,8,ABpxp,0.36214447143903095,0.40899266297705905,global,1
UMAP,8,ABpxpp,0.7221803982316394,0.6116062310361259,global,2
UMAP,8,ABpxpa,0.7327709940819414,0.5550533756313482,global,2
UMAP,8,ABpxppp,0.5804241293146674,0.6361147863654903,global,3
UMAP,8,ABpxppa,0.5738731407649992,0.5611622269269148,global,3
UMAP,8,ABpxpap,0.6606199290249848,0.5115439928238964,global,3
UMAP,8,ABpxpaa,0.2692943444305465,0.44612147640290545,global,3
hMDS,9,ABpxpppp,0.3388640972466323,0.5806556134134712,local,4
hMDS,9,ABpxpppa,0.6780052863307499,0.6465752785964166,local,4
hMDS,9,ABpxppap,0.6885050398664354,0.6834751405413656,local,4
hMDS,9,ABpxppaa,0.6141218390707001,0.7725735909667714,local,4
hMDS,9,ABpxpaap,0.6968258331098646,0.7499635426957494,local,4
hMDS,9,ABpxpaaa,0.6249558326387992,0.7076192460719667,local,4
hMDS,9,ABpxp,0.7994862184212994,0.5095812858981577,global,1
hMDS,9,ABpxpp,0.8703202889930758,0.733302076005427,global,2
hMDS,9,ABpxpa,0.8518688759139948,0.6561467826888686,global,2
hMDS,9,ABpxppp,0.7227654238075234,0.6685036879003371,global,3
hMDS,9,ABpxppa,0.6476975952570785,0.6918303449873185,global,3
hMDS,9,ABpxpap,0.7220564595675208,0.7920563308549089,global,3
hMDS,9,ABpxpaa,0.6872424228923448,0.6837903998764842,global,3
PCA,9,ABpxpppp,0.5115581060374611,0.5900096202706857,local,4
PCA,9,ABpxpppa,0.4917272585777634,0.577846425907572,local,4
PCA,9,ABpxppap,0.6036314556801303,0.637524184702892,local,4
